,ECG_peaks
0,0.0
1,0.7510037422180176
2,1.5000073909759521
3,2.2520110607147217
4,3.005014657974243
5,3.7620182037353516
6,4.520021915435791
7,5.2740256786346436
8,6.025029182434082
9,6.779032945632935
10,7.53403639793396
11,8.301040172576904
12,9.061043977737427
13,9.811047554016113
14,10.559051036834717
15,11.305054664611816
16,12.037058353424072
17,12.760061740875244
18,13.482065200805664
19,14.207068681716919
20,14.935072183609009
21,15.669075727462769
22,16.415079355239868
23,17.1620831489563
24,17.904086589813232
25,18.650090217590332
26,19.38809370994568
27,20.1170973777771
28,20.843100786209106
29,21.566104412078857
30,22.29010772705078
31,23.014111280441284
32,23.743114948272705
33,24.482118368148804
34,25.21412205696106
35,25.94812560081482
36,26.678128957748413
37,27.414132595062256
38,28.152136087417603
39,28.8961398601532
40,29.634143352508545
41,30.374146938323975
42,31.126150608062744
43,31.872154235839844
44,32.6281578540802
45,33.383161544799805
46,34.136165142059326
47,34.89216876029968
48,35.64917230606079
49,36.404175996780396
50,37.15217971801758
51,37.90118336677551
52,38.65218687057495
53,39.3971905708313
54,40.18519425392151
55,40.971198081970215
56,41.75520181655884
57,42.53220558166504
58,43.306209325790405
59,44.09121322631836
60,44.871217012405396
61,45.653220653533936
62,46.42222452163696
63,47.19022822380066
64,47.96723198890686
65,48.7472357749939
66,49.5332396030426
67,50.32424330711365
68,51.1092472076416
69,51.88825082778931
70,52.66025471687317
71,53.422258377075195
72,54.18126201629639
73,54.93626570701599
74,55.68726921081543
75,56.437272787094116
76,57.19127655029297
77,57.94328022003174
78,58.69728374481201
79,59.44928741455078
80,60.19529104232788
81,60.95129466056824
82,61.72129845619202
83,62.48830223083496
84,63.25030589103699
85,64.01230955123901
86,64.78531312942505
87,65.55531692504883
88,66.32132053375244
89,67.08532428741455
90,67.84332799911499
91,68.60433173179626
92,69.35833525657654
93,70.10933899879456
94,70.85634255409241
95,71.6023461818695
96,72.34934973716736
97,73.10435342788696
98,73.86335706710815
99,74.62236070632935
100,75.38036441802979
101,76.13936805725098
102,76.90437173843384
103,77.6673755645752
104,78.42937922477722
105,79.18438291549683
106,79.93638634681702
107,80.68839001655579
108,81.44039368629456
109,82.19239735603333
110,82.94840097427368
111,83.70640468597412
112,84.46640825271606
113,85.222412109375
114,85.97841572761536
115,86.73741936683655
116,87.48642301559448
117,88.22842645645142
118,88.97743010520935
119,89.7314338684082
120,90.49243760108948
121,91.26044130325317
122,92.02544498443604
123,92.7904486656189
124,93.56645226478577
125,94.33145594596863
126,95.10145974159241
127,95.87346339225769
128,96.64246726036072
129,97.41047096252441
130,98.17547464370728
131,98.9464783668518
132,99.71648216247559
133,100.48648571968079
134,101.25448942184448
135,102.02549314498901
136,102.80349707603455
137,103.57450079917908
138,104.34250450134277
139,105.10250806808472
140,105.8595118522644
141,106.61551547050476
142,107.36951899528503
143,108.11752271652222
144,108.86452627182007
145,109.60952997207642
146,110.35553359985352
147,111.09853720664978
148,111.8535406589508
149,112.60854434967041
150,113.3585479259491
151,114.12455177307129
152,114.90055537223816
153,115.66655921936035
154,116.44556283950806
155,117.22356677055359
156,118.0095705986023
157,118.79557418823242
158,119.58857822418213
159,120.37858200073242
160,121.16758584976196
161,121.96558952331543
162,122.76759338378906
163,123.57259750366211
164,124.37660121917725
165,125.19060516357422
166,125.99660921096802
167,126.79561305046082
168,127.60161685943604
169,128.41862082481384
170,129.24462485313416
171,130.06362867355347
172,130.8946328163147
173,131.71963667869568
