,ECG_peaks
0,0.0
1,0.8969929218292236
2,1.7979857921600342
3,2.6969785690307617
4,3.5779716968536377
5,4.439964771270752
6,5.296957969665527
7,6.1709511280059814
8,7.060944080352783
9,7.9739367961883545
10,8.904929399490356
11,9.851921796798706
12,10.804914236068726
13,11.734906911849976
14,12.676899433135986
15,13.617891788482666
16,14.553884506225586
17,15.455877304077148
18,16.354870080947876
19,17.232863187789917
20,18.07585644721985
21,18.920849800109863
22,19.77384305000305
23,20.642836093902588
24,21.487829446792603
25,22.325822830200195
26,23.174815893173218
27,24.034809112548828
28,24.911802291870117
29,25.80279517173767
30,26.70378804206848
31,27.587780952453613
32,28.46977400779724
33,29.320767164230347
34,30.136760711669922
35,30.90675449371338
36,31.67874836921692
37,32.45874238014221
38,33.25973582267761
39,34.10272932052612
40,35.004722118377686
41,35.90871477127075
42,36.79270792007446
43,37.63970112800598
44,38.4866943359375
45,39.37168741226196
46,40.284680128097534
47,41.237672567367554
48,42.21066474914551
49,43.18865704536438
50,44.161649227142334
51,45.12364172935486
52,46.098634004592896
53,47.062626361846924
54,48.03061866760254
55,49.00261092185974
56,49.97760319709778
57,50.96159529685974
58,51.94958758354187
59,52.95057940483093
60,53.93757176399231
61,54.93156385421753
62,55.917556047439575
63,56.893548250198364
64,57.87954044342041
65,58.846532583236694
66,59.764525413513184
67,60.601518869400024
68,61.43351221084595
69,62.26150560379028
70,63.093498945236206
71,63.93049240112305
72,64.80348539352417
73,65.6764783859253
74,66.549471616745
75,67.41146469116211
76,68.26245784759521
77,69.10145115852356
78,69.9124448299408
79,70.70943856239319
80,71.48443222045898
81,72.2474262714386
82,73.01042008399963
83,73.77141404151917
84,74.53740811347961
85,75.32840180397034
86,76.16639518737793
87,77.0123884677887
88,77.84038186073303
89,78.69037508964539
90,79.61336779594421
91,80.60135984420776
92,81.63435173034668
93,82.67034339904785
94,83.7623348236084
95,84.87332606315613
96,85.97731733322144
97,87.06430864334106
98,88.11130023002625
99,89.14629197120667
100,90.2012836933136
101,91.21927547454834
102,92.20926761627197
103,93.22425961494446
104,94.24125146865845
105,95.2622435092926
