,ECG_peaks
0,0.0
1,0.8079960346221924
2,1.6379919052124023
3,2.476987838745117
4,3.2839837074279785
5,4.093979835510254
6,4.912975788116455
7,5.789971351623535
8,6.684967041015625
9,7.582962512969971
10,8.474958181381226
11,9.352953672409058
12,10.24394941329956
13,11.134944915771484
14,12.043940544128418
15,12.942935943603516
16,13.813931703567505
17,14.671927452087402
18,15.544923067092896
19,16.43091869354248
20,17.30291438102722
21,18.19091010093689
22,19.077905654907227
23,19.946901321411133
24,20.823897123336792
25,21.709892749786377
26,22.60588812828064
27,23.487883806228638
28,24.356879472732544
29,25.23287534713745
30,26.123870849609375
31,27.02086639404297
32,27.925861835479736
33,28.825857400894165
34,29.718852996826172
35,30.584848880767822
36,31.45484447479248
37,32.333840131759644
38,33.22183585166931
39,34.11683130264282
40,35.000826835632324
41,35.889822483062744
42,36.778818130493164
43,37.66481375694275
44,38.515809535980225
45,39.37380528450012
46,40.223801136016846
47,41.07379698753357
48,41.9107928276062
49,42.75178861618042
50,43.59278440475464
51,44.45278024673462
52,45.32477593421936
53,46.17077159881592
54,47.04876732826233
55,47.934762954711914
56,48.82775855064392
57,49.69875431060791
58,50.58774995803833
59,51.49474549293518
60,52.415740728378296
61,53.34373617172241
62,54.27373170852661
63,55.16572713851929
64,56.071722745895386
65,56.98071813583374
66,57.87571382522583
67,58.74870944023132
68,59.638705015182495
69,60.550700664520264
70,61.4616961479187
71,62.31469178199768
72,63.12068796157837
73,63.91068387031555
74,64.68868017196655
75,65.31167697906494
76,66.17467284202576
77,66.89166927337646
78,67.59666585922241
79,68.29066228866577
80,68.9736590385437
81,69.6406557559967
82,70.30365228652954
83,70.95864915847778
84,71.60464596748352
85,72.25064277648926
86,72.88563966751099
87,73.5266363620758
88,74.17763328552246
89,74.82463002204895
90,75.46562695503235
91,76.098623752594
92,76.72262072563171
93,77.34961748123169
94,77.96761441230774
95,78.5816113948822
96,79.20160841941833
97,79.82360529899597
98,80.4496021270752
99,81.07959914207458
100,81.72259593009949
101,82.36959266662598
102,83.0415894985199
103,83.84158539772034
104,84.67458128929138
105,85.4655773639679
106,86.26157355308533
107,87.0405695438385
108,87.7945659160614
109,88.52756214141846
110,89.2325587272644
111,89.91955542564392
112,90.61255192756653
113,91.28154873847961
114,91.99854516983032
115,92.68954157829285
116,93.39553809165955
117,94.109534740448
118,94.79853129386902
119,95.4825279712677
120,96.15952444076538
121,96.82852125167847
122,97.49551796913147
123,98.16151452064514
124,98.82951140403748
125,99.49650812149048
126,100.1615047454834
127,100.82950139045715
128,101.4954981803894
129,102.16749477386475
130,102.83849143981934
131,103.52348804473877
132,104.20248484611511
133,104.89248132705688
134,105.57747793197632
135,106.261474609375
136,106.94147109985352
