,ECG_peaks
0,0.0
1,0.6080019474029541
2,1.240004062652588
3,1.8840060234069824
4,2.532008171081543
5,3.1780102252960205
6,3.81901216506958
7,4.448014259338379
8,5.067016363143921
9,5.674018144607544
10,6.267019987106323
11,6.850022077560425
12,7.4180238246917725
13,7.98602557182312
14,8.566027402877808
15,9.16702938079834
16,9.795031309127808
17,10.428033351898193
18,11.053035497665405
19,11.689037322998047
20,12.33803939819336
21,12.999041557312012
22,13.673043727874756
23,14.320045709609985
24,14.959047794342041
25,15.59404993057251
26,16.214051961898804
27,16.832053899765015
28,17.44705581665039
29,18.06405782699585
30,18.671059608459473
31,19.271061658859253
32,19.873063564300537
33,20.476065397262573
34,21.076067447662354
35,21.67906928062439
36,22.27207112312317
37,22.86007308959961
38,23.45307493209839
39,24.05907702445984
40,24.66507887840271
41,25.27708077430725
42,25.879082679748535
43,26.468084573745728
44,27.053086519241333
45,27.637088298797607
46,28.219090223312378
47,28.812092065811157
48,29.405093908309937
49,30.00809597969055
50,30.615097761154175
51,31.22409987449646
52,31.836101770401
53,32.450103759765625
54,33.067105770111084
55,33.67710757255554
56,34.284109592437744
57,34.88711142539978
58,35.48011350631714
59,36.06111526489258
60,36.63111710548401
61,37.192118883132935
62,37.756120681762695
63,38.32212257385254
64,38.88512420654297
65,39.452126026153564
66,40.03012800216675
67,40.63512992858887
68,41.258131980895996
69,41.87613391876221
70,42.48813581466675
71,43.10813784599304
72,43.73013973236084
73,44.35214185714722
74,44.9761438369751
75,45.59314560890198
76,46.20214772224426
77,46.80714964866638
78,47.409151554107666
79,48.01515340805054
80,48.61715531349182
81,49.22415733337402
82,49.831159353256226
83,50.43116116523743
84,51.03416299819946
85,51.63916492462158
86,52.258167028427124
87,52.882169008255005
88,53.50117087364197
89,54.10917282104492
90,54.71217489242554
91,55.305176734924316
92,55.88817858695984
93,56.45818042755127
94,57.02018213272095
95,57.57818412780762
96,58.134185791015625
97,58.698187589645386
98,59.27118945121765
99,59.8701913356781
100,60.5011932849884
101,61.15319538116455
102,61.827197551727295
103,62.50119972229004
104,63.152201890945435
105,63.79620385169983
106,64.43420600891113
107,65.06120800971985
108,65.68120980262756
109,66.28821182250977
110,66.88221383094788
111,67.4672155380249
112,68.04821753501892
113,68.63021922111511
114,69.19922113418579
115,69.7622230052948
116,70.32422471046448
117,70.89922666549683
118,71.49822854995728
119,72.11923050880432
120,72.74623250961304
121,73.35823440551758
122,73.97923636436462
123,74.61223840713501
124,75.24124050140381
125,75.87024235725403
126,76.49724435806274
127,77.1142463684082
128,77.72024846076965
129,78.31325030326843
130,78.90625214576721
131,79.50325393676758
132,80.10025596618652
133,80.69025778770447
134,81.27825975418091
135,81.87526154518127
136,82.47226357460022
137,83.06926536560059
138,83.66126728057861
139,84.2482693195343
140,84.83627104759216
141,85.42327284812927
142,86.00927472114563
143,86.59927678108215
144,87.1892786026001
145,87.7742805480957
146,88.36228227615356
147,88.95028424263
148,89.53728604316711
149,90.12928795814514
150,90.72128987312317
151,91.30729174613953
152,91.88629364967346
153,92.46329545974731
154,93.03929734230042
155,93.6192991733551
156,94.2103009223938
157,94.82730293273926
158,95.44730496406555
159,96.0773069858551
160,96.72730898857117
161,97.39731121063232
162,98.0523133277893
163,98.6963152885437
164,99.33931732177734
165,99.97031950950623
166,100.57432126998901
167,101.17132329940796
168,101.77832531929016
169,102.37732720375061
170,102.97432899475098
171,103.57133102416992
172,104.17233276367188
173,104.78233480453491
174,105.4023368358612
175,106.03333878517151
176,106.6843409538269
177,107.34634304046631
178,108.00934505462646
179,108.67034721374512
180,109.31834936141968
181,109.95135140419006
182,110.57535338401794
183,111.18235516548157
184,111.7743570804596
185,112.35135889053345
186,112.9133608341217
187,113.46736264228821
188,114.01536440849304
189,114.56736612319946
190,115.13336777687073
191,115.71136975288391
192,116.31537175178528
193,116.94837355613708
194,117.6063756942749
195,118.27737784385681
196,118.93338012695312
197,119.5813820362091
198,120.22238421440125
199,120.88938617706299
200,121.54838848114014
201,122.19939041137695
202,122.85739254951477
203,123.51239466667175
204,124.17439675331116
205,124.83439898490906
206,125.48640084266663
207,126.13540291786194
208,126.79640507698059
209,127.45740723609924
210,128.1184093952179
211,128.76141142845154
212,129.40641355514526
213,130.05041551589966
214,130.68641757965088
215,131.3184196949005
216,131.95642161369324
217,132.59242367744446
218,133.22942566871643
219,133.85942769050598
220,134.48542976379395
221,135.10743165016174
222,135.72643375396729
223,136.34143567085266
224,136.94343757629395
225,137.5474395751953
226,138.1474413871765
227,138.74244332313538
228,139.32044506072998
229,139.88744688034058
230,140.4484486579895
231,140.99945044517517
232,141.54445219039917
233,142.08645391464233
234,142.62045574188232
235,143.1494574546814
236,143.67045903205872
237,144.1844606399536
238,144.69446229934692
239,145.20046401023865
240,145.69846558570862
241,146.19146704673767
242,146.68046855926514
243,147.15947008132935
244,147.63847160339355
245,148.11347317695618
246,148.58147478103638
247,149.04647612571716
248,149.5174777507782
249,149.98547911643982
250,150.44748067855835
251,150.9074821472168
252,151.36348366737366
253,151.81748509407043
254,152.26948642730713
255,152.71848797798157
256,153.16748929023743
257,153.61649084091187
258,154.06849217414856
259,154.5194935798645
260,154.9694950580597
261,155.41949653625488
262,155.87049794197083
263,156.32349944114685
264,156.77650094032288
265,157.23250246047974
266,157.69350385665894
267,158.15950536727905
268,158.62450671195984
269,159.0915083885193
270,159.56250977516174
271,160.04551124572754
272,160.541512966156
273,161.0445146560669
274,161.5515160560608
275,162.0615177154541
276,162.58251953125
277,163.10852122306824
278,163.63552284240723
279,164.16952443122864
280,164.70652627944946
281,165.24652791023254
282,165.78552961349487
283,166.31653141975403
284,166.83853316307068
285,167.35753464698792
286,167.8695363998413
287,168.3785378932953
288,168.88153958320618
289,169.38654112815857
290,169.89154291152954
291,170.4045443534851
292,170.9275460243225
293,171.4505476951599
294,171.97654938697815
295,172.50655126571655
296,173.0545527935028
297,173.61855459213257
298,174.18755650520325
299,174.78155851364136
300,175.40956044197083
301,176.07856249809265
302,176.7505648136139
303,177.40756678581238
304,178.05156898498535
305,178.694571018219
306,179.33357286453247
