,ECG_peaks
0,0.0
1,0.7530045509338379
2,1.5040092468261719
3,2.2870137691497803
4,3.0840187072753906
5,3.882023572921753
6,4.643028020858765
7,5.378032445907593
8,6.090036869049072
9,6.787040948867798
10,7.513045310974121
11,8.277050018310547
12,9.037054538726807
13,9.795059204101562
14,10.557063817977905
15,11.339068412780762
16,12.12907338142395
17,12.940078258514404
18,13.766083240509033
19,14.589088201522827
20,15.434093236923218
21,16.2610981464386
22,17.080103158950806
23,17.863107919692993
24,18.64511251449585
25,19.404117107391357
26,20.157121658325195
27,20.92012643814087
28,21.70613121986389
29,22.49513578414917
30,23.314140796661377
31,24.140145778656006
32,24.938150644302368
33,25.7351553440094
34,26.509160041809082
35,27.278164863586426
36,28.037169456481934
37,28.805173873901367
38,29.581178665161133
39,30.35118341445923
40,31.123188018798828
41,31.88419246673584
42,32.62819695472717
43,33.32520127296448
44,34.03120541572571
45,34.72120976448059
46,35.40021371841431
47,36.09821796417236
48,36.823222398757935
49,37.5612268447876
50,38.3112313747406
51,39.06623601913452
52,39.79924035072327
53,40.499244689941406
54,41.19924879074097
55,41.898252964019775
56,42.615257263183594
57,43.35126185417175
58,44.08026623725891
59,44.82227063179016
60,45.58227515220642
61,46.36028003692627
62,47.087284326553345
63,47.88728928565979
64,48.64529371261597
65,49.40729832649231
66,50.153302907943726
67,50.89130735397339
68,51.64631199836731
69,52.41731643676758
70,53.17732119560242
71,53.93232560157776
72,54.660330057144165
73,55.348334312438965
74,56.023338317871094
75,56.693342447280884
76,57.39534664154053
77,58.117351055145264
78,58.8703556060791
79,59.584359884262085
80,60.2923641204834
81,61.074368715286255
82,61.865373611450195
83,62.692378520965576
84,63.53938364982605
85,64.39038872718811
86,65.22639393806458
87,66.05539894104004
88,66.87240386009216
89,67.70240879058838
90,68.53641390800476
91,69.3734188079834
92,70.2144238948822
93,71.055428981781
94,71.88843417167664
95,72.72943925857544
96,73.48744368553162
97,74.21644806861877
98,74.91745233535767
99,75.60345649719238
100,76.27646064758301
101,76.95146465301514
102,77.61346864700317
103,78.27347254753113
104,78.91947650909424
105,79.56348037719727
106,80.20848441123962
107,80.84248805046082
108,81.46282529830933
109,82.08316230773926
110,82.70349931716919
111,83.31250309944153
112,83.91250658035278
113,84.49751019477844
114,85.08051371574402
115,85.65951728820801
116,86.231520652771
117,86.79852414131165
118,87.36352753639221
119,87.92953085899353
120,88.51153445243835
121,89.11053800582886
122,89.70354175567627
123,90.28954529762268
124,90.88954877853394
125,91.51755261421204
126,92.16255640983582
127,92.82856059074402
128,93.47156429290771
129,94.10756826400757
130,94.79957246780396
131,95.65557765960693
132,96.45958232879639
133,97.2365870475769
134,97.9975917339325
135,98.72359609603882
136,99.39160013198853
137,100.03860402107239
138,100.67460799217224
139,101.31661176681519
140,101.96561574935913
141,102.59661960601807
142,103.34762406349182
143,104.12962865829468
144,104.87463331222534
145,105.62863779067993
146,106.37764239311218
147,107.10964679718018
148,107.83265113830566
149,108.51065516471863
150,109.17065930366516
151,109.82666325569153
152,110.47366714477539
153,111.13867115974426
154,111.83967518806458
155,112.53567957878113
156,113.22068357467651
157,113.96268820762634
158,114.70369267463684
159,115.43669700622559
160,116.18070149421692
161,116.90870594978333
162,117.62771034240723
163,118.3327145576477
164,119.01171851158142
165,119.66972255706787
166,120.33772659301758
167,120.9947304725647
168,121.6537344455719
169,122.30173850059509
170,122.97374248504639
171,123.63974666595459
172,124.3007504940033
173,124.97375464439392
174,125.6407585144043
175,126.31676268577576
176,127.00376677513123
177,127.70277118682861
178,128.3987753391266
179,129.07677936553955
180,129.78978371620178
181,130.54078817367554
182,131.3497931957245
183,132.15879797935486
184,133.00380301475525
185,133.82980799674988
186,134.6118128299713
187,135.3878173828125
188,136.17382216453552
189,136.9788269996643
190,137.74783182144165
191,138.52683639526367
192,139.32884120941162
193,140.14784622192383
194,140.91985082626343
195,141.69985556602478
196,142.48886036872864
197,143.24586486816406
198,143.9968695640564
199,144.75887417793274
200,145.5278787612915
201,146.31888341903687
202,147.06688809394836
203,147.83889269828796
204,148.62789750099182
205,149.4129021167755
206,150.1849067211151
207,150.97291159629822
208,151.78491640090942
209,152.59592127799988
210,153.40592622756958
211,154.1499307155609
212,154.919935464859
213,155.70794010162354
214,156.51194500923157
215,157.35195016860962
216,158.16095495224
217,158.98095989227295
218,159.78596472740173
219,160.57796955108643
220,161.36597442626953
221,162.14697909355164
222,162.92598366737366
223,163.7039885520935
224,164.5179934501648
225,165.37299847602844
226,166.240003824234
227,167.1030089855194
228,167.9680142402649
229,168.81601929664612
230,169.6080241203308
231,170.39002871513367
232,171.16103339195251
233,171.9220380783081
234,172.71104288101196
235,173.5370478630066
236,174.33705258369446
237,175.16005754470825
238,175.97706246376038
239,176.73806715011597
240,177.51407194137573
241,178.28407645225525
242,179.08508133888245
243,179.8450858592987
244,180.65209078788757
245,181.47409582138062
246,182.32510089874268
247,183.14910578727722
248,183.94211053848267
249,184.76111555099487
250,185.5521204471588
251,186.34512519836426
252,187.13512992858887
253,187.91713452339172
254,188.7241394519806
255,189.56214451789856
256,190.38214945793152
257,191.2381546497345
258,192.10715985298157
259,192.96916508674622
260,193.8561704158783
261,194.75017595291138
262,195.62418127059937
263,196.48018622398376
264,197.28619122505188
265,198.09319615364075
266,198.8932008743286
267,199.67420554161072
268,200.46321034431458
269,201.27221536636353
270,202.05421996116638
271,202.84522485733032
272,203.61522936820984
273,204.4172341823578
274,205.27123951911926
275,206.11424446105957
276,206.9822497367859
277,207.7922546863556
278,208.64825987815857
279,209.4832649230957
280,210.2882697582245
281,211.11727476119995
282,211.968279838562
283,212.79728484153748
284,213.6542899608612
285,214.51629519462585
286,215.36230039596558
287,216.18430519104004
288,217.01931023597717
289,217.8633153438568
290,218.71332049369812
291,219.5653257369995
292,220.43533086776733
293,221.26933598518372
294,222.13334131240845
295,222.9773464202881
296,223.79335117340088
297,224.6123561859131
298,225.4493613243103
299,226.27336621284485
300,227.12337136268616
301,227.99937653541565
302,228.84538173675537
303,229.70338702201843
304,230.58039212226868
305,231.42939734458923
306,232.29340267181396
307,233.14440774917603
308,233.9914128780365
309,234.80241775512695
310,235.6084225177765
311,236.42942762374878
312,237.27343273162842
313,238.10643768310547
314,238.9764428138733
315,239.83444809913635
316,240.67045307159424
317,241.5374584197998
318,242.3804633617401
319,243.19646835327148
320,244.02747344970703
321,244.84047842025757
322,245.65848326683044
323,246.49248838424683
324,247.32249331474304
325,248.14549827575684
326,248.98250341415405
327,249.7935082912445
328,250.58251309394836
329,251.38651776313782
330,252.2025227546692
331,252.9995276927948
332,253.83553266525269
333,254.67953777313232
334,255.49154257774353
335,256.32454776763916
336,257.1345524787903
337,257.93455743789673
338,258.7525622844696
339,259.5485670566559
340,260.354572057724
341,261.16357684135437
342,261.9765818119049
343,262.77458667755127
344,263.5695912837982
345,264.363596200943
346,265.16360092163086
347,265.98660588264465
348,266.81661105155945
349,267.6646161079407
350,268.5416214466095
351,269.3626263141632
352,270.1996314525604
353,271.02563643455505
354,271.83564138412476
355,272.665646314621
356,273.4556510448456
357,274.248655796051
358,275.0226604938507
359,275.7656650543213
360,276.5646698474884
361,277.39367485046387
362,278.20367980003357
363,279.0446848869324
364,279.8746898174286
365,280.65969467163086
366,281.3926990032196
367,282.09670329093933
368,282.746707201004
369,283.42171120643616
370,284.09571528434753
371,284.8387198448181
372,285.63772463798523
373,286.4647295475006
374,287.3147346973419
375,288.1507399082184
376,288.9387445449829
377,289.72974944114685
378,290.539754152298
379,291.37575936317444
380,292.2287645339966
381,293.0767695903778
382,293.9147746562958
383,294.7357795238495
384,295.5417845249176
385,296.31878900527954
386,297.0407934188843
387,297.8097982406616
388,298.63580322265625
389,299.60280895233154
390,300.4598140716553
391,301.18481850624084
392,302.109824180603
393,302.91782903671265
394,303.63183331489563
395,304.4968385696411
396,305.24084305763245
397,305.92584705352783
398,306.7468521595001
399,307.4518563747406
400,308.143860578537
401,308.8968651294708
402,309.6348695755005
403,310.30787348747253
404,310.96487760543823
405,311.68188190460205
406,312.4308865070343
407,313.20189094543457
408,313.99789595603943
409,314.7009000778198
410,315.3729040622711
411,316.08590841293335
412,316.7929127216339
413,317.526917219162
414,318.2729215621948
415,318.94392561912537
416,319.60992980003357
417,320.29693388938904
418,320.96893787384033
419,321.6629421710968
420,322.3729465007782
421,323.0299503803253
422,323.6839542388916
423,324.37495851516724
424,325.0749628543854
425,325.82896733283997
426,326.57397174835205
427,327.251975774765
428,327.9259798526764
429,328.6319842338562
430,329.3399884700775
431,330.0649929046631
432,330.77199721336365
433,331.45100116729736
434,332.15200543403625
435,332.9080100059509
436,333.68501472473145
437,334.53501987457275
438,335.3640248775482
439,336.13702964782715
440,336.8840341567993
441,337.6620388031006
442,338.46704363822937
443,339.34304881095886
444,340.2050540447235
445,340.9900588989258
446,341.74406337738037
447,342.5020680427551
448,343.3250730037689
449,344.21107816696167
450,345.07408356666565
451,345.90408849716187
452,346.7440936565399
453,347.6090989112854
454,348.5171043872833
455,349.4171097278595
456,350.2621147632599
457,351.0761196613312
458,351.93012499809265
459,352.82913041114807
460,353.7721359729767
461,354.66114139556885
462,355.496146440506
463,356.3401515483856
464,357.2161567211151
465,358.12416219711304
466,359.0421679019928
467,359.8811728954315
468,360.710177898407
469,361.58418321609497
470,362.46218848228455
471,363.33019375801086
472,364.14019870758057
473,364.94920349121094
474,365.71320819854736
475,366.4752128124237
476,367.20121717453003
477,367.9012212753296
478,368.6152255535126
479,369.33822989463806
480,370.1022346019745
481,370.9652397632599
482,371.87424540519714
483,372.7942509651184
484,373.708256483078
485,374.6222620010376
486,375.52826738357544
487,376.45127296447754
488,377.3602783679962
489,378.2742838859558
490,379.19628953933716
491,380.0782947540283
492,380.99130034446716
493,381.9413061141968
494,382.91531205177307
495,383.9013178348541
496,384.89332389831543
497,385.8333296775818
498,386.73533511161804
499,387.66234064102173
500,388.564346075058
501,389.48035168647766
502,390.4733576774597
503,391.4273633956909
504,392.36436891555786
505,393.330374956131
506,394.26538038253784
507,395.18638610839844
508,396.1413917541504
509,397.11039757728577
510,398.06840348243713
511,399.04740929603577
512,400.0104150772095
513,400.9614210128784
514,401.9254267215729
515,402.8934326171875
516,403.8424382209778
517,404.73644375801086
518,405.6574492454529
519,406.5874547958374
520,407.537460565567
521,408.52146649360657
522,409.47047233581543
523,410.31847739219666
524,411.1784825325012
525,412.05348777770996
526,412.9844934940338
527,413.9354991912842
528,414.90450501441956
529,415.88251090049744
530,416.7825164794922
531,417.59752130508423
532,418.37952613830566
533,419.105530500412
534,419.90953540802
535,420.74654030799866
536,421.6445457935333
537,422.60755157470703
538,423.56655740737915
539,424.5465633869171
540,425.4585688114166
541,426.2875738143921
542,427.1065788269043
543,427.93958377838135
544,428.78458881378174
545,429.66759419441223
546,430.60459995269775
547,431.50260519981384
548,432.33961033821106
549,433.1706154346466
550,434.0396206378937
551,434.9326260089874
552,435.8526315689087
553,436.7576370239258
554,437.6276423931122
555,438.44764733314514
556,439.2966523170471
557,440.1376574039459
558,440.9716625213623
559,441.81966757774353
560,442.69867300987244
561,443.5436780452728
562,444.38468313217163
563,445.22868824005127
564,446.0586931705475
565,446.87069821357727
566,447.66870284080505
567,448.50270795822144
568,449.35271310806274
569,450.1767179965973
570,450.98572301864624
571,451.8237280845642
572,452.6527330875397
573,453.5057382583618
574,454.3587431907654
575,455.1697483062744
576,455.93175292015076
577,456.69675731658936
578,457.44276189804077
579,458.2067666053772
580,458.97077107429504
581,459.779776096344
582,460.58678102493286
583,461.39378571510315
584,462.2107906341553
585,463.05379581451416
586,463.90080094337463
587,464.7208058834076
588,465.5348107814789
589,466.36581587791443
590,467.18482065200806
591,468.0028257369995
592,468.81983065605164
593,469.6528356075287
594,470.4698405265808
595,471.27884554862976
596,472.0808503627777
597,472.8398549556732
598,473.590859413147
599,474.3148636817932
600,475.10586857795715
601,475.982873916626
602,476.84287905693054
603,477.6778841018677
604,478.5398893356323
605,479.42989468574524
606,480.33090019226074
607,481.2239055633545
608,482.12591099739075
609,483.01991629600525
610,483.8779215812683
611,484.74592685699463
612,485.58093190193176
613,486.3829367160797
614,487.1769413948059
615,487.9909462928772
616,488.8339514732361
617,489.67195653915405
618,490.50896167755127
619,491.35796666145325
620,492.26797223091125
621,493.1279773712158
622,493.998982667923
623,494.8509876728058
624,495.7429931163788
625,496.6349985599518
626,497.4500033855438
627,498.26500844955444
628,499.07901334762573
629,499.89801836013794
630,500.73002338409424
631,501.60002851486206
632,502.45403361320496
633,503.3430390357971
634,504.2520444393158
635,505.1350498199463
636,506.02005529403687
637,506.9010605812073
638,507.74606561660767
639,508.58907079696655
640,509.43207573890686
641,510.28208088874817
642,511.1630861759186
643,512.010091304779
644,512.8320963382721
645,513.6561012268066
646,514.4831063747406
647,515.3321113586426
648,516.1571164131165
649,517.0011215209961
650,517.873126745224
651,518.7341320514679
652,519.603137254715
653,520.4711425304413
654,521.3551478385925
655,522.1831529140472
656,522.9791576862335
657,523.7631623744965
658,524.5491671562195
659,525.3291718959808
660,526.1171765327454
661,526.925181388855
662,527.7221863269806
663,528.5541913509369
664,529.3951964378357
665,530.2402014732361
666,531.076206445694
667,531.9082114696503
668,532.7352166175842
669,533.5472214221954
670,534.3852264881134
671,535.2352316379547
672,536.1082367897034
673,536.9812421798706
674,537.8762476444244
675,538.7642529010773
676,539.6672582626343
677,540.5002634525299
678,541.3342683315277
679,542.1772735118866
680,543.0252785682678
681,543.8552837371826
682,544.7142889499664
683,545.6072943210602
684,546.4462993144989
685,547.3033044338226
686,548.1603095531464
687,548.9973146915436
688,549.8223197460175
