,ECG_peaks
0,0.0
1,0.672992467880249
2,1.348984956741333
3,2.032977342605591
4,2.7259697914123535
5,3.474961519241333
6,4.196953535079956
7,4.8979456424713135
8,5.61593770980835
9,6.321929931640625
10,7.006922245025635
11,7.663914918899536
12,8.307907819747925
13,8.937901020050049
14,9.566894054412842
15,10.196887016296387
16,10.841879844665527
17,11.531872272491455
18,12.297863721847534
19,13.018855571746826
20,13.719847917556763
21,14.398840427398682
22,15.092832803726196
23,15.77382516860962
24,16.445817708969116
25,17.102810382843018
26,17.745803356170654
27,18.368796348571777
28,18.989789485931396
29,19.60678267478943
30,20.215775966644287
31,20.839768886566162
32,21.473762035369873
33,22.126754760742188
34,22.787747383117676
35,23.501739501953125
36,24.24773120880127
37,24.972723245620728
38,25.66571545600891
39,26.324708223342896
40,26.97770094871521
41,27.61769390106201
42,28.2616868019104
43,28.912679433822632
44,29.571672201156616
45,30.231664896011353
46,30.901657581329346
47,31.5766499042511
48,32.27064228057861
49,32.96063470840454
50,33.62662720680237
51,34.293619871139526
52,34.984612226486206
53,35.71260404586792
54,36.453595876693726
55,37.18158793449402
56,37.882580041885376
57,38.56357264518738
58,39.23256516456604
59,39.89555788040161
60,40.55155062675476
61,41.20754313468933
62,41.88853573799133
63,42.546528339385986
64,43.21852087974548
65,43.89651346206665
66,44.59750556945801
67,45.30049777030945
68,45.9804904460907
69,46.664482831954956
70,47.355475187301636
71,48.06446719169617
72,48.74645972251892
73,49.46545171737671
74,50.21644330024719
75,51.024434328079224
76,51.81342577934265
77,52.58441710472107
78,53.377408266067505
79,54.155399799346924
80,54.90139150619507
81,55.62138342857361
82,56.351375341415405
83,57.112366914749146
84,57.94535779953003
85,58.78134846687317
86,59.614339113235474
87,60.45333003997803
88,61.300320625305176
89,62.15031123161316
90,62.995301723480225
91,63.86329221725464
92,64.74828243255615
93,65.62027263641357
94,66.47026324272156
95,67.28325414657593
96,68.11224508285522
97,68.95723557472229
98,69.81022620201111
99,70.60021734237671
100,71.41020846366882
101,72.20819973945618
102,73.0051908493042
103,73.7521824836731
104,74.47717452049255
105,75.23216605186462
106,76.06715679168701
107,76.94614720344543
108,77.78513789176941
109,78.5791289806366
110,79.35312032699585
111,80.11311197280884
