,ECG_peaks
0,0.0
1,0.6439871788024902
2,1.2899742126464844
3,1.9309613704681396
4,2.576948642730713
5,3.22993540763855
6,3.876922607421875
7,4.525909662246704
8,5.182896375656128
9,5.865882873535156
10,6.518869638442993
11,7.20685601234436
12,7.862842798233032
13,8.503829956054688
14,9.1208176612854
15,9.727805614471436
16,10.33979344367981
17,10.961781024932861
18,11.629767656326294
19,12.345753192901611
20,13.303734064102173
21,14.25371503829956
22,15.098698139190674
23,15.8426833152771
24,16.567668914794922
25,17.234655618667603
26,17.903642177581787
27,18.593628406524658
28,19.355612993240356
29,20.393592357635498
30,21.360573053359985
31,22.249555349349976
32,23.102538108825684
33,23.917521953582764
34,24.70750617980957
35,25.456491231918335
36,26.138477563858032
37,26.776464700698853
38,27.41845202445984
39,28.069438934326172
40,28.76342511177063
41,29.51041007041931
42,30.624387741088867
43,31.591368436813354
44,32.46735095977783
45,33.30833411216736
46,34.11731791496277
47,34.90030241012573
48,35.67328691482544
49,36.43227171897888
50,37.152257204055786
51,37.84224343299866
52,38.54922938346863
53,39.225215911865234
54,39.949201345443726
55,40.68518662452698
56,41.372172832489014
57,42.03615975379944
58,42.69914650917053
59,43.36013317108154
60,44.027119874954224
61,44.69810652732849
62,45.400092363357544
63,46.0750789642334
64,46.7590651512146
65,47.429051876068115
66,48.08603882789612
67,48.7360258102417
68,49.4030122756958
69,50.10799837112427
70,50.78698468208313
71,51.46597123146057
72,52.13695764541626
73,52.846943616867065
74,53.58392882347107
75,54.373913049697876
76,55.24889540672302
77,56.15287733078003
78,57.0098602771759
79,57.82984399795532
80,58.53982973098755
81,59.21881604194641
82,59.88680291175842
83,60.5617892742157
84,61.311774253845215
85,62.41975212097168
86,63.430732011795044
87,64.40971231460571
88,65.2796950340271
89,66.11267828941345
90,66.91166234016418
91,67.67964696884155
92,68.40763235092163
93,69.03961992263794
94,69.66760730743408
95,70.27359509468079
96,70.8655834197998
97,71.44957160949707
98,72.01956033706665
99,72.58754897117615
100,73.14553761482239
101,73.70652651786804
102,74.26651525497437
103,74.82150411605835
104,75.37649321556091
105,75.92448210716248
106,76.47047114372253
107,77.01146054267883
108,77.54644966125488
109,78.07643914222717
110,78.60342860221863
111,79.12541818618774
112,79.64240789413452
113,80.15639758110046
114,80.6703872680664
115,81.18137717247009
116,81.70036673545837
117,82.22335624694824
118,82.73534607887268
119,83.24933576583862
120,83.75932550430298
121,84.26631546020508
122,84.76830530166626
123,85.27129530906677
124,85.77528524398804
125,86.28827500343323
126,86.80426454544067
127,87.3202543258667
128,87.84424376487732
129,88.40123271942139
130,88.95822167396545
131,89.51821041107178
132,90.08019924163818
133,90.6401879787445
134,91.19617676734924
135,91.75616574287415
136,92.32115435600281
137,92.8871431350708
138,93.46013164520264
139,94.04611992835999
140,94.6631076335907
141,95.30809473991394
142,95.96308159828186
143,96.62806820869446
144,97.28105521202087
145,97.91504263877869
146,98.54402995109558
147,99.16901755332947
148,99.7820053100586
149,100.39099311828613
150,100.993980884552
151,101.60496878623962
152,102.21795654296875
153,102.82594442367554
154,103.42993235588074
155,104.03492021560669
156,104.6349081993103
157,105.24789595603943
158,105.85788369178772
159,106.5418701171875
160,107.25385594367981
161,107.89684295654297
162,108.53583025932312
163,109.16981744766235
164,109.79880499839783
165,110.43379235267639
166,111.06677961349487
167,111.6987669467926
168,112.32675433158875
169,112.95474195480347
170,113.58772921562195
171,114.22271656990051
172,114.85970377922058
173,115.50169086456299
174,116.15167784690857
175,116.80366492271423
176,117.44965195655823
177,118.09063911437988
178,118.74662613868713
179,119.40361285209656
180,120.05959987640381
181,120.71858668327332
182,121.38057351112366
183,122.07155966758728
184,122.7265465259552
185,123.38153338432312
186,124.04052019119263
187,124.70950675010681
188,125.37649345397949
189,126.02648043632507
190,126.67246770858765
191,127.30845499038696
192,127.94944214820862
193,128.5954291820526
194,129.2454161643982
195,129.90540289878845
196,130.5633897781372
197,131.2303764820099
198,131.90336298942566
199,132.6053490638733
200,133.2853353023529
201,133.96232175827026
202,134.62730860710144
203,135.28229546546936
204,135.9252827167511
205,136.569269657135
206,137.2192566394806
207,137.872243642807
208,138.52123069763184
209,139.17021775245667
210,139.8362045288086
211,140.51219081878662
212,141.1901774406433
213,141.88816332817078
214,142.54815030097961
215,143.22013688087463
216,143.89812326431274
217,144.58210945129395
218,145.2870955467224
219,145.9620819091797
220,146.67706775665283
221,147.36105394363403
222,148.04104042053223
