,ECG_peaks
0,0.0
1,0.8159620761871338
2,1.6179590225219727
3,2.42693829536438
4,3.235917806625366
5,4.043899774551392
6,4.848390340805054
7,5.652881145477295
8,6.437920331954956
9,7.2449047565460205
10,8.043909072875977
11,8.81298828125
12,9.580072164535522
13,10.31623363494873
14,11.004514455795288
15,11.711748123168945
16,12.513745069503784
17,13.204020977020264
18,14.055893182754517
19,14.847914934158325
20,15.652904510498047
21,16.4299635887146
22,17.236948013305664
23,18.028969764709473
24,18.82996916770935
25,19.612015962600708
26,20.3880774974823
27,21.176109313964844
28,21.95516347885132
29,22.747185230255127
30,23.539206981658936
31,24.33821153640747
32,25.165146112442017
33,26.003053188323975
34,26.845947980880737
35,27.682857513427734
36,28.581612825393677
37,29.48036813735962
38,30.317277669906616
39,31.164162397384644
40,32.00206971168518
41,32.79708409309387
42,33.592098236083984
43,34.39908266067505
44,35.20606708526611
45,35.983126401901245
46,36.814050912857056
47,37.65195822715759
48,38.45395517349243
49,39.26592707633972
50,40.09286165237427
51,40.922788858413696
52,41.71680545806885
53,42.54972529411316
54,43.358704566955566
55,44.11880612373352
56,44.915815591812134
57,45.79861068725586
58,46.67442321777344
59,47.55023550987244
60,48.40510034561157
61,49.26395535469055
62,50.12281012535095
63,50.985655069351196
64,51.85049510002136
65,52.721818685531616
66,53.59314250946045
67,54.68541431427002
68,55.465964794158936
69,56.24651527404785
70,57.09140491485596
71,57.89739203453064
72,58.741284132003784
73,59.6689670085907
74,60.628570318222046
75,61.54727578163147
76,62.40812563896179
77,63.252017974853516
78,64.10788011550903
79,64.9507749080658
80,65.72883152961731
81,66.55377125740051
82,67.36773824691772
83,68.14778995513916
84,68.90789151191711
85,69.65103530883789
86,70.26350545883179
87,70.76375603675842
88,71.26400661468506
89,71.77373337745667
90,72.46001935005188
91,73.26600623130798
92,73.82062101364136
93,74.63658308982849
94,75.16326761245728
95,75.8166356086731
96,76.62860774993896
97,77.24806046485901
98,77.7298572063446
99,78.24457144737244
100,78.95779013633728
101,79.5942006111145
102,80.2206358909607
103,80.87899160385132
104,81.58921766281128
105,82.31839656829834
106,83.06154036521912
107,84.23062038421631
108,85.42862820625305
109,86.24459028244019
110,87.05656218528748
111,87.87651419639587
112,88.68848609924316
113,89.490483045578
114,90.59572243690491
115,91.83462810516357
116,93.58425807952881
117,94.6176769733429
118,95.31593298912048
119,96.05508685112
120,96.81917834281921
121,97.60521507263184
122,98.381276845932
123,99.16930866241455
124,99.95734024047852
125,100.57080817222595
126,101.46956324577332
127,102.56582522392273
128,103.5613386631012
129,104.88204002380371
130,105.41071963310242
131,106.0511200428009
132,106.65461277961731
133,107.36583638191223
134,107.84464049339294
135,108.3663375377655
136,109.00574040412903
137,109.75786185264587
138,110.72145533561707
139,111.91746807098389
140,112.75537514686584
141,113.53642439842224
142,114.39128923416138
143,115.51448392868042
144,116.52894997596741
145,117.6671073436737
146,118.52496457099915
147,119.50950574874878
148,120.51698923110962
149,159.0780110359192
150,159.8090078830719
151,160.57800436019897
152,161.3480007648468
153,162.13099718093872
